pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
65.785,-84.11,90.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C,smt
50.07,-62.484,90.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
43.196,-52.959,-90.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
60.23,-55.535,-90.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
43.069,-67.854,-90.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
69.485,-48.55,180.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
74.565,-57.44,90.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
70.12,-63.79,-90.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
69.104,-67.219,180.0,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
65.929,-70.775,-90.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
73.549,-68.616,0.0,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt
73.549,-70.775,0.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt
53.356,-65.06,180.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
70.12,-52.36,180.0,top,D1,,,D_SOD-123,BZT52C12,smt
65.04,-44.486,180.0,top,D2,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
43.831,-49.312,0.0,top,FID1,,,Fiducial_0.5mm_Mask1.5mm,Fiducial,smt
75.327,-87.539,0.0,top,FID2,,,Fiducial_0.5mm_Mask1.5mm,Fiducial,smt
40.465,-47.0,0.0,top,H1,,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht
72.465,-89.0,0.0,top,H2,,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht
71.39,-82.205,180.0,top,J1,,,PinHeader_2x05_P1.27mm_Vertical_SMD,Conn_ARM_JTAG_SWD_10,smt
56.465,-46.0,180.0,top,J2,,,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_16P,smt
73.348,-63.165,-90.0,top,J3,,,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,Conn_01x02,tht
38.26,-51.979,0.0,top,J4,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04,tht
39.767,-83.475,-90.0,top,J5,,,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,Conn_01x03_MountingPin,smt
39.767,-75.855,-90.0,top,J6,,,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,Conn_01x04_MountingPin,smt
49.18,-50.455,0.0,top,JP1,,,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,Jumper_2_Small_Bridged,tht
62.5,-56.805,-90.0,top,JP2,,,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,Rate,tht
65.675,-75.855,-90.0,top,JP3,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,Jumper_2_Small_Open,tht
60.595,-62.52,180.0,top,JP4,,,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,Jumper_2_Small_Bridged,tht
60.595,-65.06,180.0,top,JP5,,,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,Jumper_2_Small_Bridged,tht
42.942,-66.584,0.0,bottom,JP6,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,Jumper_2_Small_Open,tht
42.942,-70.394,0.0,bottom,JP7,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,Jumper_2_Small_Open,tht
71.009,-75.22,0.0,top,L1,,,L_Taiyo-Yuden_NR-60xx,3.9uH,smt
45.355,-52.959,-90.0,top,L2,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,3.3uH,smt
48.8,-54.549,180.0,top,Q1,,,SOT-23,MMBT4403,smt
73.295,-48.55,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
68.85,-60.615,180.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,33k,smt
67.58,-63.79,-90.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
60.214,-59.345,-90.0,top,R12,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
65.04,-46.645,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt
68.215,-57.44,-90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2k,smt
48.53,-45.375,180.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
48.53,-47.534,180.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
49.435,-57.404,0.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R,smt
