Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins,Sim.Device
C1,1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,
"C10, C13, C2, C6, C9",5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,
"C11, C12, C5",3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,
"C3, C4",2,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,
"C7, C8",2,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,
D1,1,BZT52C12,D_SOD-123,,,,smt,Zener diode,,,
D2,1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Light emitting diode,,1=K 2=A,
J1,1,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,,,Yes,smt,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",,,
J2,1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,,,smt,USB 2.0-only 16P Type-C Receptacle connector,,,
J3,1,Conn_01x02,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/Molex,,
J5,1,Conn_01x03_MountingPin,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,,,,smt,"Generic connectable mounting pin connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J6,1,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,,,smt,"Generic connectable mounting pin connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
"JP6, JP7",2,Jumper_2_Small_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,,,tht,"Jumper, 2-pole, small symbol, open",,,
L1,1,3.9uH,L_Taiyo-Yuden_NR-60xx,,,,smt,,,,
L2,1,3.3uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,,,,smt,Inductor,,,
Q1,1,MMBT4403,SOT-23,,,,smt,"PNP transistor, base/emitter/collector",,1=B 2=E 3=C,PNP
R1,1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,,,
R10,1,33k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,Yes,smt,Resistor,SMD_2terminal_chip_molded,,
R11,1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,Yes,smt,Resistor,SMD_2terminal_chip_molded,,
R12,1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,Yes,smt,Resistor,,,
R2,1,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,
R3,1,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,
"R4, R5",2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,SMD_2terminal_chip_molded,,
"R6, R7",2,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,
"R8, R9",2,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,
SW1,1,SW_Push_JTP-1130,SW_Push_SPST_NO_Alps_SKRK,,,,smt,RST,,,
TP1,1,TestPoint,TestPoint_Loop_D2.50mm_Drill1.0mm,,,,tht,test point,,,
U1,1,ESP32-C6-WROOM-1,ESP32-C6-WROOM-1,,,,smt,"ESP32-C6-WROOM-1/U is a module that supports 2.4 GHz Wi-Fi 6 (802.11 ax), Bluetooth® 5 (LE), Zigbee and Thread (802.15.4)",,,
U2,1,MCP73831-2-OT,SOT-23-5,,,,smt,"Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in SOT23-5 package",,,
U3,1,HX711,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,"24-bit Analog-to-Digital Converter (ADC) for Weight Scales, SOIC-16 (SOP-16)",,,
U4,1,AP63203WU,TSOT-23-6,,,,smt,,,,
U5,1,USBLC6-2SC6,SOT-23-6,,,,smt,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",,,
U6,1,TTP223-BA6,SOT-23-6,,,,smt,,package/gullwing,,
